PDMS,,PDMS-90,,PDMS-0,,K1S-spin,,K1S-spin-90,,K1S-spin-0,,K1S-ff-3mms,,K1S-ff-3mms-90,,K1S-ff-3mms-0,,K1S-lf-3mms,,K1S-lf-3mms-90,,K1S-lf-3mms-0,,K1S-lf-3mms-2,,K1S-lf-3mms-2-90,,K1S-lf-3mms-2-0,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
1047,0.5256971121,1047,1.165174961,1047,0.793815136,1047,0.4704807997,1047,1.080224633,1047,0.8151261806,1047,0.8176237345,1047,1.424797535,1047,1.041162252,1047,0.5519996285,1047,1.121535897,1047,0.8303251266,1047,0.6849813461,1047,1.271881819,1047,0.9355540872,
1046,0.5261176229,1046,1.16465342,1046,0.7945562005,1046,0.4707375765,1046,1.079800844,1046,0.8159697056,1046,0.8182446957,1046,1.424223065,1046,1.041876674,1046,0.5523303747,1046,1.121132493,1046,0.8311302066,1046,0.6853243709,1046,1.271371126,1046,0.9364229441,
1045,0.5262093544,1045,1.163465381,1045,0.7948071361,1045,0.4709509909,1045,1.079192162,1045,0.8167755604,1045,0.8183972836,1045,1.42356813,1045,1.042251468,1045,0.5526848435,1045,1.12060082,1045,0.8319545984,1045,0.6855906844,1045,1.27082634,1045,0.9371510744,
1044,0.5257256031,1044,1.16271472,1044,0.7950587273,1044,0.4707288444,1044,1.07809484,1044,0.8170417547,1044,0.8181577921,1044,1.423012376,1044,1.042460442,1044,0.5526465178,1044,1.119657874,1044,0.8323656917,1044,0.6854255795,1044,1.270032048,1044,0.9375838041,
1043,0.5261288285,1043,1.162265778,1043,0.7962309718,1043,0.4707969725,1043,1.077620745,1043,0.8175832629,1043,0.8186565042,1043,1.422522187,1043,1.043590307,1043,0.5526880622,1043,1.119277716,1043,0.8330935836,1043,0.6856878996,1043,1.269566417,1043,0.9383230209,
1042,0.5265086293,1042,1.161530256,1042,0.7967479825,1042,0.4710973501,1042,1.077188492,1042,0.8185866475,1042,0.8186072111,1042,1.421479344,1042,1.044430375,1042,0.553098619,1042,1.11910224,1042,0.8340274692,1042,0.6860447526,1042,1.268981218,1042,0.939278841,
1041,0.5262699723,1041,1.160719514,1041,0.7971385121,1041,0.4710804522,1041,1.0763098,1041,0.8190305233,1041,0.8185446858,1041,1.420900583,1041,1.044692039,1041,0.5532198548,1041,1.118216157,1041,0.8345768452,1041,0.68608284,1041,1.268472552,1041,0.9396865368,
1040,0.5260888338,1040,1.160060167,1040,0.7977622747,1040,0.4709979892,1040,1.075392604,1040,0.819452405,1040,0.8186545968,1040,1.420300364,1040,1.045133471,1040,0.5533591509,1040,1.117532253,1040,0.8351993561,1040,0.6862493157,1040,1.267852902,1040,0.9403367043,
1039,0.5265234709,1039,1.159346223,1039,0.7982844114,1039,0.4713426232,1039,1.074994802,1039,0.820628643,1039,0.818836987,1039,1.419812918,1039,1.046016812,1039,0.55381459,1039,1.117444873,1039,0.8363443017,1039,0.6869032383,1039,1.267484665,1039,0.9415112138,
1038,0.5264714956,1038,1.158528686,1038,0.7986325026,1038,0.4713605046,1038,1.074218512,1038,0.8210480213,1038,0.8191449046,1038,1.418918848,1038,1.046258211,1038,0.5539805293,1038,1.116551876,1038,0.8368147612,1038,0.686717689,1038,1.266592026,1038,0.9417880177,
